name,price,det,link
Makerbase MKS DLC V2.0 (SKU#3D1017),"1,850.00 EGP",All-in-one DLC GRBL controller for 3D printer & CNC,/shop/kit-3d-1017-makerbase-mks-dlc-v2-0-sku-3d1017-7956?page=24
Makerbase MKS DLC V2.1 (SKU#3D1016),"1,850.00 EGP",All-in-one DLC GRBL controller for 3D printer & CNC,/shop/kit-3d-1016-makerbase-mks-dlc-v2-1-sku-3d1016-7955?page=24
Water Pump - Hose 6x8mm - PVC Clear Vinyl Tubing 1 Meter,30.00 EGP,No description,/shop/dc-pump-hose-6x8-1m-water-pump-hose-6x8mm-pvc-clear-vinyl-tubing-1-meter-7954?page=24
Water Pump12Vdc Ultra-Quiet Brushless 240L/H,295.00 EGP,,/shop/dc-pump-240l-water-pump12vdc-ultra-quiet-brushless-240l-h-7953?page=24
DC-DC Step Up Power Module - High Voltage (3~6Vdc to 1000KV) SKU#DC501,225.00 EGP,No description,/shop/dc-dc-501-dc-dc-step-up-power-module-high-voltage-3-6vdc-to-1000kv-sku-dc501-7952?page=24
DC-DC Step Up Power Module - High Voltage (3~6Vdc to 400KV) SKU#DC500,175.00 EGP,,/shop/dc-dc-500-dc-dc-step-up-power-module-high-voltage-3-6vdc-to-400kv-sku-dc500-7951?page=24
DC-DC Step Up Voltage Converter Adjustable 10A With Shell (6~35Vdc to 6~55Vdc) SKU#DC205,250.00 EGP,Boost Converter,/shop/dc-dc-205-dc-dc-step-up-voltage-converter-adjustable-10a-with-shell-6-35vdc-to-6-55vdc-sku-dc205-7950?page=24
DC-DC Step Down Voltage Converter Adjustable 3A LM2596HVS (4.5~60Vdc to 3~35Vdc) SKU#DC100HVS,75.00 EGP,Buck Voltage Converter,/shop/dc-dc-100-hvs-dc-dc-step-down-voltage-converter-adjustable-3a-lm2596hvs-4-5-60vdc-to-3-35vdc-sku-dc100hvs-7948?page=25
Energizer® CR2032 Battery 3V Coin Type,60.00 EGP,No description,/shop/energizer-cr2032-energizer-r-cr2032-battery-3v-coin-type-7945?page=25
1 Output Relay Module Works on (5V/12V/24V) Signal,45.00 EGP,No description,/shop/kit-1relay-plc-1-output-relay-module-works-on-5v-12v-24v-signal-7944?page=25
Clear Acrylic Case For Joystick Module,25.00 EGP,No description,/shop/box-sf9032-clear-acrylic-case-for-joystick-module-7943?page=25
Clear Acrylic Case For PIR Module HC-SR501,25.00 EGP,No description,/shop/box-pir-sr501-clear-acrylic-case-for-pir-module-hc-sr501-7942?page=25
Clear Acrylic Case For LCD 2x16,40.00 EGP,No description,/shop/box-lcd-2x16-clear-acrylic-case-for-lcd-2x16-7941?page=25
Clear Acrylic Case For Raspberry Pi Camera,95.00 EGP,,/shop/box-camera-rpi-clear-acrylic-case-for-raspberry-pi-camera-7940?page=25
BMS 4 String 14.8V/8A,100.00 EGP,"Original MOSFET Transistors
18650 Cell Lithium Battery Protection Board Current Peak 8A Over-Current Protection",/shop/bms-4s-8a-bms-4-string-14-8v-8a-7939?page=25
BMS 4 String 14.8V/40A,200.00 EGP,"Original MOSFET Transistors
18650 Cell Lithium Battery Protection Board Current Peak 40A Over-Current Protection",/shop/bms-4s-40a-bms-4-string-14-8v-40a-7938?page=25
BMS 3 String 12V/60A,125.00 EGP,"Original MOSFET Transistors
18650 Cell Lithium Battery Protection Board 11.1V Current Peak 60A Over-Current Protection",/shop/bms-3s-60a-bms-3-string-12v-60a-7937?page=25
BMS 3 String 12V/40A,110.00 EGP,"Original MOSFET Transistors
18650 Cell Lithium Battery Protection Board 11.1V Current Peak 40A Over-Current Protection",/shop/bms-3s-40a-bms-3-string-12v-40a-7936?page=25
PC USB 13.56MHz Mifare Proximity Smart RFID IC Card Reader R20C,750.00 EGP,,/shop/access-usb-13-56m-pc-usb-13-56mhz-mifare-proximity-smart-rfid-ic-card-reader-r20c-7935?page=25
PC USB 125KHz Proximity Smart RFID ID Card Reader R20D,400.00 EGP,No description,/shop/access-usb-125k-pc-usb-125khz-proximity-smart-rfid-id-card-reader-r20d-7934?page=25
Access Control Proximity Rewritable Key Chain EM4305,20.00 EGP,EM ID 125KHz EM4305/T5200 T5577 Blank Keyfobs RFID Tag,/shop/access-key-em4305-access-control-proximity-rewritable-key-chain-em4305-7933?page=25
AC-DC Module 20W 220Vac to 12Vdc (HLK-20M12),245.00 EGP,"Output Voltage: 12Vdc/1.6A (20W)
Hi-Link Brand",/shop/ac-dc-hlk-20m12-ac-dc-module-20w-220vac-to-12vdc-hlk-20m12-7932?page=25
AC-DC Module 20W 220Vac to 5Vdc (HLK-20M05),245.00 EGP,"Output Voltage: 5Vdc/4A (20W)
Hi-Link Brand",/shop/ac-dc-hlk-20m05-ac-dc-module-20w-220vac-to-5vdc-hlk-20m05-7931?page=25
AC-DC Module 10W 220Vac to 24Vdc (HLK-10M24),190.00 EGP,"Output Voltage: 24Vdc/0.42A (10W)
Hi-Link Brand",/shop/ac-dc-hlk-10m24-ac-dc-module-10w-220vac-to-24vdc-hlk-10m24-7930?page=25
AC-DC Module 10W 220Vac to 12Vdc (HLK-10M12),190.00 EGP,"Output Voltage: 12Vdc/0.83A (10W)
Hi-Link Brand",/shop/ac-dc-hlk-10m12-ac-dc-module-10w-220vac-to-12vdc-hlk-10m12-7929?page=25
AC-DC Module 10W 220Vac to 5Vdc (HLK-10M05),190.00 EGP,"Output Voltage: 5Vdc/2A (10W)
Hi-Link Brand",/shop/ac-dc-hlk-10m05-ac-dc-module-10w-220vac-to-5vdc-hlk-10m05-7928?page=25
AC-DC 12V 450mA 5W Step Down Isolated Switching Power Supply Module,75.00 EGP,,/shop/ac-dc-12v-450mah-ac-dc-12v-450ma-5w-step-down-isolated-switching-power-supply-module-7927?page=25
WOWSTICK 1F+ Precision Dual Power Lithium Screwdriver Set - XIAOMI Brand,"2,500.00 EGP",,/shop/wow-stick-1f-wowstick-1f-precision-dual-power-lithium-screwdriver-set-xiaomi-brand-7926?page=25
WL8W Portable USB Soldering Iron Pen 5V 8W,285.00 EGP,,/shop/wl8w-usb-wl8w-portable-usb-soldering-iron-pen-5v-8w-7925?page=25
SUNKKO® 709A Battery Spot Welding Machine for 18650 Lithium Batteries + Soldering Iron,"14,500.00 EGP",Spot Welder Pulse Machine,/shop/spot-welding-709a-sunkko-r-709a-battery-spot-welding-machine-for-18650-lithium-batteries-soldering-iron-7924?page=25
Nickel Plated Steel Strip 8mm For Lithium Battery Spot Welding - 100g/bag,100.00 EGP,"Width: 8mm Thickness: 0.1mm
Battery Connections For Spot Welding",/shop/spot-welding-8mm-nickel-plated-steel-strip-8mm-for-lithium-battery-spot-welding-100g-bag-7923?page=25
Nickel Plated Steel Strip 6mm For Lithium Battery Spot Welding - 100g/bag,100.00 EGP,"Width: 6mm Thickness: 0.1mm
Battery Connections For Spot Welding",/shop/spot-welding-6mm-nickel-plated-steel-strip-6mm-for-lithium-battery-spot-welding-100g-bag-7922?page=25
Nickel Plated Steel Strip 4mm For Lithium Battery Spot Welding - 100g/bag,100.00 EGP,"Width: 4mm Thickness: 0.1mm
Battery Connections For Spot Welding",/shop/spot-welding-4mm-nickel-plated-steel-strip-4mm-for-lithium-battery-spot-welding-100g-bag-7921?page=25
Nickel Plated Steel Strip 2mm For Lithium Battery Spot Welding - 100g/bag,100.00 EGP,"Width: 2mm Thickness: 0.1mm
Battery Connections For Spot Welding",/shop/spot-welding-2mm-nickel-plated-steel-strip-2mm-for-lithium-battery-spot-welding-100g-bag-7920?page=25
Nickel Plated Steel Strip 10mm For Lithium Battery Spot Welding - 100g/bag,100.00 EGP,"Width: 10mm Thickness: 0.1mm
Battery Connections For Spot Welding",/shop/spot-welding-10mm-nickel-plated-steel-strip-10mm-for-lithium-battery-spot-welding-100g-bag-7919?page=25
Mini Nut Hexagonal Cross Wrench Size M2 M2.5 M3 M4,25.00 EGP,No description,/shop/screw-pipa-mini-nut-hexagonal-cross-wrench-size-m2-m2-5-m3-m4-7918?page=25
Screwdriver 3x120 mm 2-Way Screwdriver (Philips + Slotted),15.00 EGP,No description,/shop/screw-120-screwdriver-3x120-mm-2-way-screwdriver-philips-slotted-7917?page=25
"RT98-518 - 5"" Pliers Long Nozzle Angled 125mm",95.00 EGP,No description,/shop/rt98-518-rt98-518-5-pliers-long-nozzle-angled-125mm-7916?page=26
"RT98-517 - 5"" End Cutting Plier 125mm",95.00 EGP,No description,/shop/rt98-517-rt98-517-5-end-cutting-plier-125mm-7915?page=26
"RT98-516 - 5"" Round Nose Plier 125mm",95.00 EGP,No description,/shop/rt98-516-rt98-516-5-round-nose-plier-125mm-7914?page=26
"RT98-513 - 5"" Flat Nose Plier 125mm",95.00 EGP,No description,/shop/rt98-513-rt98-513-5-flat-nose-plier-125mm-7913?page=26
"RT98-512 - 5"" Cutting Plier & Wire Cutter 125mm",95.00 EGP,No description,/shop/rt98-512-rt98-512-5-cutting-plier-wire-cutter-125mm-7912?page=26
"RT98-511 - 5"" Long Nose Nippers Cutting Plier 125mm",95.00 EGP,No description,/shop/rt98-511-rt98-511-5-long-nose-nippers-cutting-plier-125mm-7911?page=26
Anti-Static Glove - Medium Size,15.00 EGP,No description,/shop/esd-glove-anti-static-glove-medium-size-7909?page=26
Endoscope 3.5m Camera 7.0 mm USB OTG Borescope,850.00 EGP,USB/Micro/C Type Snake Tube Inspection Borescope,/shop/endoscope-3-5m-endoscope-3-5m-camera-7-0-mm-usb-otg-borescope-7908?page=26
DIY JT0 Mini Electric Drill Advanced Set + 12Vdc Motor + Motor Holder,385.00 EGP,,/shop/drill-diy-jt0-diy-jt0-mini-electric-drill-advanced-set-12vdc-motor-motor-holder-7907?page=26
60mm Diamond Cutting Disc Wheel 16mm Arbor For Aluminum Table Saw,350.00 EGP,,/shop/cutting-spare-disk-60mm-diamond-cutting-disc-wheel-16mm-arbor-for-aluminum-table-saw-7906?page=26
Heatsink Plaster Thermal Silicon Adhesive Cooling Paste - Thermal Grease - 50mL,95.00 EGP,"High Conductivity Silicone Grease Tube, Heat Sink Silicone, Insulation, High-Temperature Resistant",/shop/compound-plaster-heatsink-plaster-thermal-silicon-adhesive-cooling-paste-thermal-grease-50ml-7905?page=26
Plastic Fliptop Box A260 Size 170x100x20mm,50.00 EGP,15 Compartments with Hang,/shop/box-a260-plastic-fliptop-box-a260-size-170x100x20mm-7902?page=26
"NX8048T050 HMI LCD 5""","3,500.00 EGP",Nextion display touch screen UART 800 x 480,/shop/hmi-nx8048t050-nx8048t050-hmi-lcd-5-7899?page=26
"NX4832T035 HMI LCD 3.5""","1,950.00 EGP",Nextion display touch screen UART 480 x 320,/shop/hmi-nx4832t035-nx4832t035-hmi-lcd-3-5-7898?page=26
"HKT104ATA-C LCD 10.4"" TOPWAY","7,500.00 EGP",Smart TFT LCD Display RS232 800x600 With Frame,/shop/hkt104ata-c-hkt104ata-c-lcd-10-4-topway-7897?page=26
"HKT050ATA-C LCD 5"" TOPWAY","3,000.00 EGP",Smart TFT LCD Display RS232 800x480 With Frame,/shop/hkt050ata-c-hkt050ata-c-lcd-5-topway-7896?page=26
TC20 Tester,"1,350.00 EGP",Multi-purpose Transistor Tester 128*160 Diode Thyristor Capacitance Resistor Inductance MOSFET ESR LCR Meter,/shop/tester-tc20-tc20-tester-7895?page=26
HDMI to Micro-HDMI Cable 1.8m,195.00 EGP,For Raspberry Pi 4B or any Micro HDMI Input device,/shop/rpi4-hdmi-cable-hdmi-to-micro-hdmi-cable-1-8m-7894?page=26
Programmer CH341A,350.00 EGP,Low Cost Programmer I2C & SPI,/shop/prog-ch341a-programmer-ch341a-7893?page=26
2020/2040 Aluminum Profile Accessory - T Shape Screw Size M5x16,7.00 EGP,مسمار حرف T مقاس 5×16مم,/shop/sy2020-t-screw-m5x16-2020-2040-aluminum-profile-accessory-t-shape-screw-size-m5x16-7892?page=26
2020/2040 Aluminum Profile Accessory - T Nut Size M5x10x6,5.00 EGP,مخ 5مم,/shop/sy2020-t-nut-m5-2020-2040-aluminum-profile-accessory-t-nut-size-m5x10x6-7891?page=26
2020/2040 Aluminum Profile Accessory - Flange Nut M5,2.50 EGP,صامولة مدورة 5مم,/shop/sy2020-flang-nut-m5-2020-2040-aluminum-profile-accessory-flange-nut-m5-7890?page=26
2020/2040 Aluminum Profile Accessory - SY2020 Corner Bracket Part,15.00 EGP,No description,/shop/sy2020-corner-2020-2040-aluminum-profile-accessory-sy2020-corner-bracket-part-7889?page=26
2020 Aluminum Profile 20x20x2000mm - Model SY2020,450.00 EGP,No description,/shop/sy2020-2000mm-2020-aluminum-profile-20x20x2000mm-model-sy2020-7888?page=26
2020 Aluminum Profile 20x20x1000mm - Model SY2020,225.00 EGP,No description,/shop/sy2020-1000mm-2020-aluminum-profile-20x20x1000mm-model-sy2020-7887?page=26
Servo Motor Mount Brackets Aluminum Set,185.00 EGP,"For Servo Motors: MG995, MG996, and Similar Models",/shop/servo-set-mg-servo-motor-mount-brackets-aluminum-set-7886?page=26
Rotary Potentiometer 500KΩ,6.00 EGP,Metal Shaft 3-Pin Pot. 500Kohm,/shop/pot-500k-metal-rotary-potentiometer-500ko-7885?page=26
POT3590S - 6.35mm Potentiometer Precise Dial Knob lockable Hat,75.00 EGP,Fit Potentiometers 3590S,/shop/pot-3590s-nop-pot3590s-6-35mm-potentiometer-precise-dial-knob-lockable-hat-7884?page=26
POT3590S - 2KΩ (202L) Rotary Wirewound Precision Potentiometer 10 Turns,95.00 EGP,2Kohm,/shop/pot-3590s-2-202l-2k-pot3590s-2ko-202l-rotary-wirewound-precision-potentiometer-10-turns-7883?page=26
Lead Screw T8 Complete CNC Sliding Table 400mm,"2,450.00 EGP","Complete mechanism with coupling, leadscrew & bearings",/shop/ls-table-400mm-lead-screw-t8-complete-cnc-sliding-table-400mm-7882?page=26
Lead Screw T8 Lock Ring Block (8mm),35.00 EGP,8mm Shaft Lock Collar for leadscrew T8,/shop/ls-lock-8mm-lead-screw-t8-lock-ring-block-8mm-7881?page=27
SHF8 Linear Axis Guide Holder,55.00 EGP,Aluminum Round Rail Linear Guide End Support Bracket 8mm,/shop/lg-shf8-shf8-linear-axis-guide-holder-7880?page=27
SHF16 Linear Axis Guide Holder,60.00 EGP,Aluminum Round Rail Linear Guide End Support Bracket 16mm,/shop/lg-shf16-shf16-linear-axis-guide-holder-7879?page=27
SBR16-500 Round Shaft Linear Guide Diameter 16mm Length 0.5m,450.00 EGP,,/shop/lg-sbr16-l500-sbr16-500-round-shaft-linear-guide-diameter-16mm-length-0-5m-7878?page=27
USB Motion Control Interface Board 4 Axis 100KHz (Mach3),"1,250.00 EGP",,/shop/kit-usb-4axis-100khz-usb-motion-control-interface-board-4-axis-100khz-mach3-7877?page=27
GT2 6mm Open Timing Belt - 1 Meter,50.00 EGP,Sold per meter for GT2 gears used in 3D printers,/shop/gt2-open-belt-gt2-6mm-open-timing-belt-1-meter-7876?page=27
GT2 Timing Belt Fixing Piece Aluminum Alloy Pitch 2mm Clamp Fixed Clip 9x40mm,35.00 EGP,No description,/shop/gt2-fixing-9x40mm-gt2-timing-belt-fixing-piece-aluminum-alloy-pitch-2mm-clamp-fixed-clip-9x40mm-7875?page=27
GT2 Open Belt Clip For Open-End Timing Belts Crimp Style,12.00 EGP,,/shop/gt2-clamp-01-gt2-open-belt-clip-for-open-end-timing-belts-crimp-style-7874?page=27
Encoder Incremental Rotary 600 Pulses,"1,000.00 EGP",DC5V-24V 600P/R - AB 2 Phase 6mm Shaft,/shop/encoder-600p-encoder-incremental-rotary-600-pulses-7873?page=27
DC Geared Motor 12V 80 rpm Encoder Motor High Torque Turbo Worm - Model GW370,675.00 EGP,No description,/shop/dc-gw370-12v-80rpm-dc-geared-motor-12v-80-rpm-encoder-motor-high-torque-turbo-worm-model-gw370-7872?page=27
DC Motor 12V 80W 13000 rpm - Model 775 Motor (High Speed Motor),450.00 EGP,,/shop/dc-775-80w-13000rpm-dc-motor-12v-80w-13000-rpm-model-775-motor-high-speed-motor-7871?page=27
Carbide Engraving Bits 0.5mm 30° V-shape,45.00 EGP,"CNC Router Tool For PCB Board
Shank diameter 3.175mm",/shop/bits-eng-0-5-carbide-engraving-bits-0-5mm-30deg-v-shape-7870?page=27
Carbide Engraving Bits 0.3mm 30° V-shape,45.00 EGP,"CNC Router Tool For PCB Board
Shank diameter 3.175mm",/shop/bits-eng-0-3-carbide-engraving-bits-0-3mm-30deg-v-shape-7869?page=27
Carbide Engraving Bits 0.1mm 30° V-shape,45.00 EGP,"CNC Router Tool For PCB Board
Shank diameter 3.175mm",/shop/bits-eng-0-1-carbide-engraving-bits-0-1mm-30deg-v-shape-7868?page=27
DIY 3018Pro Small CNC LASER 500mW & Engraving Router,"12,000.00 EGP","Include 0.5W LASER Head & DC Spindle 100W
Working area: 30*18*4.5 cm",/shop/cnc-diy-500mw-diy-3018pro-small-cnc-laser-500mw-engraving-router-7867?page=27
Ceramic Power Resistor 5W / 1KΩ,5.00 EGP,5W / 1Kohm,/shop/5w-1k-ceramic-power-resistor-5w-1ko-7866?page=27
Ceramic Power Resistor 5W / 10KΩ,5.00 EGP,5W / 10Kohm,/shop/5w-10k-ceramic-power-resistor-5w-10ko-7865?page=27
Ceramic Power Resistor 5W / 100Ω,5.00 EGP,5W / 100ohm,/shop/5w-100ohm-ceramic-power-resistor-5w-100o-7864?page=27
Ceramic Power Resistor 10W / 1KΩ,7.50 EGP,10W / 1Kohm,/shop/10w-1k-ceramic-power-resistor-10w-1ko-7863?page=27
Ceramic Power Resistor 10W / 10KΩ,7.50 EGP,10W / 10Kohm,/shop/10w-10k-ceramic-power-resistor-10w-10ko-7862?page=27
Ceramic Power Resistor 10W / 100Ω,7.50 EGP,10W / 100ohm,/shop/10w-100ohm-ceramic-power-resistor-10w-100o-7861?page=27
USB Male Type-A to USB Female Type-A Adapter Panel Extension Cable 50cm (SKU#WUSB8),45.00 EGP,,/shop/wire-usb8-50cm-usb-male-type-a-to-usb-female-type-a-adapter-panel-extension-cable-50cm-sku-wusb8-7860?page=27
USB Micro B to USB Female Type-A Adapter Panel Extension Cable 50cm (SKU#ROWUSB),48.00 EGP,,/shop/wire-usb-micro-50cm-usb-micro-b-to-usb-female-type-a-adapter-panel-extension-cable-50cm-sku-rowusb-7859?page=27
RJ45 Female to Male Adapter Network Panel Extension Cable 50cm,45.00 EGP,Ethernet Extension Cable RJ45,/shop/wire-rj45-50cm-rj45-female-to-male-adapter-network-panel-extension-cable-50cm-7858?page=27
DC Female to 3 Male DC Power 2.1mm Splitter DC Wire Adapter Cable,30.00 EGP,No description,/shop/wire-dc-3x1-dc-female-to-3-male-dc-power-2-1mm-splitter-dc-wire-adapter-cable-7857?page=27
Car Cigarette Lighter Male Plug Cable Connection,55.00 EGP,With Male Power Socket 2.1mm,/shop/wire-car-ad33-car-cigarette-lighter-male-plug-cable-connection-7856?page=27
WAGO 2 Pin - PCT-212 Universal Compact Wire Wiring Connector,5.00 EGP,Conductor terminal block with lever,/shop/wago-2pin-wago-2-pin-pct-212-universal-compact-wire-wiring-connector-7855?page=27
Plastic Hex Spacer Kit - 70pcs Black Nylon Spacer Set,350.00 EGP,Different Sizes Nylon Hexagonal Pillars,/shop/spacer-plastic-box-m23-plastic-hex-spacer-kit-70pcs-black-nylon-spacer-set-7854?page=27
SMA Male Connector 90° - Angled for PCB,20.00 EGP,,/shop/sma-pcb-90-male-sma-male-connector-90deg-angled-for-pcb-7853?page=27
SM.22AWG - 2 Pin Male + Female SM Cable Wire Plug Connectors,10.00 EGP,,/shop/sm-22awg-2pin-sm-22awg-2-pin-male-female-sm-cable-wire-plug-connectors-7852?page=27
PH63 - 10pin Male Head to Test Hook Line 30cm Long,145.00 EGP,,/shop/ph63-m-hook-30cm-ph63-10pin-male-head-to-test-hook-line-30cm-long-7851?page=28
PH1 Yellow Color - Pin Header Male 1x40 Straight 2.54mm,3.00 EGP,No description,/shop/ph1-yellow-ph1-yellow-color-pin-header-male-1x40-straight-2-54mm-7850?page=28
PG9 White Plastic Cable Gland (4~8mm) Connector Waterproof,5.00 EGP,,/shop/pg9-white-pg9-white-plastic-cable-gland-4-8mm-connector-waterproof-7849?page=28
PG7 White Plastic Cable Gland (3~6.5mm) Connector Waterproof,4.00 EGP,,/shop/pg7-white-pg7-white-plastic-cable-gland-3-6-5mm-connector-waterproof-7848?page=28
AC Power Connector Panel Mount,9.00 EGP,"IEC Plug Male, 10A, 250 Vac Connector",/shop/ac-socket-panel-ac-power-connector-panel-mount-7847?page=28
AC Power EMI Filter Connector With On/Off Switch & Fuse Compartment,395.00 EGP,EMI Rocker Switch With Lamp & Socket Connector 6A,/shop/ac-socket-filter-6a-ac-power-emi-filter-connector-with-on-off-switch-fuse-compartment-7846?page=28
Variable Capacitor 0-60PF,15.00 EGP,No description,/shop/c-var-60pf-variable-capacitor-0-60pf-7845?page=28
Super Capacitor 1F 5.5V (Coin Cell Supercapacitor),45.00 EGP,Memory Backup Capacitor,/shop/c-super-1f-5-5v-super-capacitor-1f-5-5v-coin-cell-supercapacitor-7844?page=28
Super Capacitor 0.1F 5.5V  (Coin Cell Supercapacitor),40.00 EGP,Memory Backup Capacitor,/shop/c-super-0-1f-5-5v-super-capacitor-0-1f-5-5v-coin-cell-supercapacitor-7843?page=28
Non Polar Capacitor 221K-15KV,5.00 EGP,0.22Nf 220PF 15KV - High Voltage,/shop/c-221k-15kv-non-polar-capacitor-221k-15kv-7842?page=28
"Wall Power Adapter USB Type C, Output 5Vdc 3A With On/Off Switch",250.00 EGP,No description,/shop/rpi4-adaptor-onoff-wall-power-adapter-usb-type-c-output-5vdc-3a-with-on-off-switch-7840?page=28
Heatsink Cooling Set for Raspberry Pi 4B Board - Gold (Aluminum & Copper),60.00 EGP,3 Pieces Adhesive,/shop/hs-p4-gold-heatsink-cooling-set-for-raspberry-pi-4b-board-gold-aluminum-copper-7839?page=28
Heatsink Cooling Set for Raspberry Pi 4B Board - White,35.00 EGP,3 Pieces Adhesive,/shop/hs-p4-white-heatsink-cooling-set-for-raspberry-pi-4b-board-white-7836?page=28
Aluminum Water Block 40x40 mm For Thermoelectric Cooler (Peltier),175.00 EGP,Cooling Block Head,/shop/hs-10080-40mm-aluminum-water-block-40x40-mm-for-thermoelectric-cooler-peltier-7835?page=28
Aluminum Water Block 120x40 mm For Thermoelectric Cooler (Peltier),300.00 EGP,Cooling Block Head,/shop/hs-10080-120mm-aluminum-water-block-120x40-mm-for-thermoelectric-cooler-peltier-7834?page=28
GT50JR22,125.00 EGP,IGBT 600V 50A TOSHIBA,/shop/gt50jr22-gt50jr22-7833?page=28
MAX232IN,25.00 EGP,Dual EIA-232 driver and receiver,/shop/max232in-max232in-7832?page=28
PH35 - Pin Header Female 1x5 Straight 2.54mm,1.50 EGP,No description,/shop/ph35-1x5-female-ph35-pin-header-female-1x5-straight-2-54mm-7830?page=28
UT512 Megger Insulation Resistance Tester 2500V,"5,500.00 EGP",UNI-T Brand,/shop/avo-ut512-unit-ut512-megger-insulation-resistance-tester-2500v-7829?page=28
UT658A USB Tester,275.00 EGP,UNI-T Brand,/shop/avo-ut658a-unit-ut658a-usb-tester-7823?page=28
UTG962E UNI-T Mini Function/Arbitrary Waveform Generator 60MHz,"7,500.00 EGP",UNI-T Brand,/shop/avo-utg962e-unit-utg962e-uni-t-mini-function-arbitrary-waveform-generator-60mhz-7820?page=28
UTG932E UNI-T Mini Function/Arbitrary Waveform Generator 30MHz,"6,350.00 EGP",UNI-T Brand,/shop/avo-utg932e-unit-utg932e-uni-t-mini-function-arbitrary-waveform-generator-30mhz-7819?page=28
WAGO 5 Pin - PCT-215 Universal Compact Wire Wiring Connector,8.50 EGP,Conductor terminal block with lever,/shop/wago-5pin-wago-5-pin-pct-215-universal-compact-wire-wiring-connector-7817?page=28
WAGO 3 Pin - PCT-213 Universal Compact Wire Wiring Connector,6.00 EGP,Conductor terminal block with lever,/shop/wago-3pin-wago-3-pin-pct-213-universal-compact-wire-wiring-connector-7816?page=28
MDD10A Cytron 10Amp 5V-30V DC Motor Driver (2 Channels),"1,250.00 EGP",Drive 2 Motors,/shop/mdd10a-cytron-mdd10a-cytron-10amp-5v-30v-dc-motor-driver-2-channels-7815?page=28
Energizer® 9V Battery Alkaline,245.00 EGP,No description,/shop/energizer-battery9v-max-energizer-r-9v-battery-alkaline-7813?page=28
Energizer® 1.5V AA Size Battery Alkaline (Pack of 2),85.00 EGP,No description,/shop/energizer-aa-2-energizer-r-1-5v-aa-size-battery-alkaline-pack-of-2-7812?page=28
Energizer® 1.5V AAA Size Battery Alkaline (Pack of 2),85.00 EGP,No description,/shop/energizer-aaa-2-energizer-r-1-5v-aaa-size-battery-alkaline-pack-of-2-7811?page=28
A61 Digital Thermometer With Metal Probe - IP65,500.00 EGP,"UNI-T Brand
Food temperature meter",/shop/avo-a61-unit-a61-digital-thermometer-with-metal-probe-ip65-7809?page=28
UT123 Pocket-sized - Simple Use - Residential Multimeter,450.00 EGP,UNI-T Brand,/shop/avo-ut123-unit-ut123-pocket-sized-simple-use-residential-multimeter-7808?page=28
UT363S Anemometer - Wind Speed Measurement,"1,100.00 EGP",UNI-T Brand,/shop/avo-ut363s-unit-ut363s-anemometer-wind-speed-measurement-7806?page=29
UT330B USB Temperature & Humidity Datalogger,"1,950.00 EGP",UNI-T Brand,/shop/avo-ut330b-unit-ut330b-usb-temperature-humidity-datalogger-7803?page=29
UT261A Phase Sequence & Missing Phase Indicator,"1,950.00 EGP",UNI-T Brand,/shop/avo-ut261a-unit-ut261a-phase-sequence-missing-phase-indicator-7800?page=29
UT204+ Digital Clamp Meter 600A (AC/DC),"1,650.00 EGP",UNI-T Brand,/shop/avo-ut204-unit-ut204-digital-clamp-meter-600a-ac-dc-7799?page=29
UT125C Pocket Size Digital Multimeter,650.00 EGP,UNI-T Brand,/shop/avo-ut125c-unit-ut125c-pocket-size-digital-multimeter-7798?page=29
NVEM V5 MACH3 Ethernet Card 6 Axis,"8,500.00 EGP",CNC Controller 6-Axis (Mach3),/shop/kit-nvem-6-axis-nvem-v5-mach3-ethernet-card-6-axis-7796?page=29
"OLED 1.3"" 4pin LCD Display Module I2C IIC Communicate",265.00 EGP,OLED 1.3 inch 128x64 Pixel,/shop/oled-1-3-4pin-oled-1-3-4pin-lcd-display-module-i2c-iic-communicate-7794?page=29
Eco SMPS Output +5Vdc/5A Input 220Vac,225.00 EGP,No description,/shop/smps-eco-5v-5a-eco-smps-output-5vdc-5a-input-220vac-7793?page=29
Eco SMPS Output +24Vdc/5A Input 220Vac,500.00 EGP,No description,/shop/smps-eco-24v-5a-eco-smps-output-24vdc-5a-input-220vac-7792?page=29
Eco SMPS Output +24Vdc/3A Input 220Vac,400.00 EGP,No description,/shop/smps-eco-24v-3a-eco-smps-output-24vdc-3a-input-220vac-7791?page=29
Eco SMPS Output +12Vdc/20A Input 220Vac,500.00 EGP,No description,/shop/smps-eco-12v-20a-eco-smps-output-12vdc-20a-input-220vac-7790?page=29
Eco SMPS Output +12Vdc/10A Input 220Vac,350.00 EGP,No description,/shop/smps-eco-12v-10a-eco-smps-output-12vdc-10a-input-220vac-7789?page=29
Eco SMPS Output +12Vdc/5A Input 220Vac,300.00 EGP,No description,/shop/smps-eco-12v-5a-eco-smps-output-12vdc-5a-input-220vac-7787?page=29
Eco SMPS Output +12Vdc/30A Input 220Vac With Cooling Fan,600.00 EGP,No description,/shop/smps-eco-12v-30a-eco-smps-output-12vdc-30a-input-220vac-with-cooling-fan-7786?page=29
PD-032C Glass 10X Desk Magnifier With Adjustable Brightness LED,"1,600.00 EGP",10X Magnifying,/shop/pd032c-10x-black-pd-032c-glass-10x-desk-magnifier-with-adjustable-brightness-led-7785?page=29
